Customer_ID,Customer_Name,Age,Gender,Location,Product_Category,Product_ID,Purchase_Date,Purchase_Amount,Payment_Method,Rating,Feedback_Comments,Customer_Lifetime_Value,Loyalty_Score,Discount_Applied,Return_Status,Customer_Segment,Preferred_Shopping_Channel,Churn,CLV,Purchase_Frequency,Avg_Purchase_Value,Days_Since_Purchase,Segment
10860,Eve,33,2,1,3,393,2020-01-01 01:00:00,144.3267219240498,1,5,Good,2103.060388103142,29,0.1,1,0,1,1,144.3267219240498,1,144.3267219240498,2294,2.0
15191,Eve,66,2,4,2,405,2020-01-01 03:00:00,226.6555157554255,0,2,Excellent,2591.13771644049,62,0.1,1,1,2,0,226.6555157554255,1,226.6555157554255,2294,0.0
15734,Eve,38,0,3,4,353,2020-01-01 04:00:00,37.85187964907034,0,2,,548.6203971454596,80,0.1,1,1,0,1,37.85187964907034,1,37.85187964907034,2294,0.0
16265,Bob,26,2,3,1,279,2020-01-01 05:00:00,489.4622876891775,3,3,,2727.555898669597,46,0.1,0,1,2,0,489.4622876891775,1,489.4622876891775,2294,1.0
10466,Charlie,23,0,3,1,139,2020-01-01 06:00:00,298.3324426440482,3,4,,3076.554423084574,26,0.1,0,0,0,0,298.3324426440482,1,298.3324426440482,2294,2.0
14426,Eve,68,2,0,0,875,2020-01-01 07:00:00,282.9065249154459,0,4,Bad,3269.74572904248,28,0.1,0,0,2,0,282.9065249154459,1,282.9065249154459,2294,2.0
15578,Bob,62,2,0,2,800,2020-01-01 08:00:00,331.3401771508628,2,2,,4319.156456370234,92,0.1,0,2,2,0,331.3401771508628,1,331.3401771508628,2294,1.0
18322,Charlie,52,1,4,0,619,2020-01-01 09:00:00,253.5415874108313,2,3,Average,3428.350801832161,59,0.1,0,1,0,0,253.5415874108313,1,253.5415874108313,2294,1.0
11685,Eve,56,2,3,0,715,2020-01-01 10:00:00,25.71112337632538,0,2,Good,287.6999803763301,55,0.1,0,1,2,1,25.71112337632538,1,25.71112337632538,2293,0.0
10769,Eve,39,2,3,3,836,2020-01-01 11:00:00,310.0325315317944,3,4,,2346.345641696344,86,0.1,0,2,1,0,310.0325315317944,1,310.0325315317944,2293,0.0
16949,John,58,1,1,4,645,2020-01-01 12:00:00,360.925199708651,3,5,Average,4178.94523654391,90,0.1,0,2,2,0,809.5858699483692,3,269.86195664945643,2260,1.0
12433,John,22,0,1,1,335,2020-01-01 13:00:00,214.207039705786,2,3,,1697.167684627304,52,0.1,1,1,2,1,580.5803535531745,2,290.29017677658726,2229,0.0
15051,Eve,40,1,3,4,327,2020-01-01 15:00:00,121.2306366758261,2,2,Excellent,835.9148928477689,6,0.1,0,0,2,1,121.2306366758261,1,121.2306366758261,2293,2.0
16420,Alice,34,0,4,4,799,2020-01-01 16:00:00,118.4255296224302,1,5,Average,1677.421471373182,59,0.1,0,1,1,1,118.4255296224302,1,118.4255296224302,2293,0.0
11184,John,29,2,1,2,924,2020-01-01 17:00:00,89.09432396691123,3,4,,935.0825358214901,13,0.1,0,0,2,1,89.09432396691123,1,89.09432396691123,2293,2.0
14555,Charlie,40,0,1,4,582,2020-01-01 18:00:00,192.2774322966893,3,1,Good,1798.198824137643,26,0.1,0,0,0,1,548.3292001987663,3,182.77640006625543,2223,2.0
13385,Eve,33,2,0,3,529,2020-01-01 19:00:00,425.0358973406509,0,4,,5765.195187242348,64,0.1,1,1,1,0,425.0358973406509,1,425.0358973406509,2293,1.0
16396,Eve,20,2,4,4,121,2020-01-01 20:00:00,415.6769104530415,3,4,,5266.273975383519,13,0.1,0,0,1,0,415.6769104530415,1,415.6769104530415,2293,1.0
18666,Alice,47,0,4,3,442,2020-01-01 21:00:00,197.5838619021169,1,5,,2890.166581131101,47,0.1,1,1,2,0,576.947568948704,2,288.473784474352,2250,2.0
12558,Eve,26,0,3,1,272,2020-01-01 23:00:00,363.1999950727086,0,4,Good,2256.03310034553,49,0.1,1,1,2,1,363.1999950727086,1,363.1999950727086,2293,1.0
17849,John,46,2,0,0,538,2020-01-02 00:00:00,128.1913195677313,1,3,Excellent,735.278550815486,19,0.1,0,0,0,1,128.1913195677313,1,128.1913195677313,2293,2.0
12047,Alice,64,0,2,3,278,2020-01-02 01:00:00,92.38913208842607,2,5,Excellent,543.468568156659,21,0.1,0,0,0,1,92.38913208842607,1,92.38913208842607,2293,2.0
12747,Charlie,54,0,2,1,697,2020-01-02 02:00:00,486.3270366740324,2,5,,4754.768461677678,72,0.1,0,1,2,0,486.3270366740324,1,486.3270366740324,2293,1.0
19167,Alice,40,2,2,4,232,2020-01-02 03:00:00,312.6030834727131,2,2,,2249.468722858803,99,0.1,1,2,0,1,312.6030834727131,1,312.6030834727131,2293,0.0
19998,John,30,1,4,2,450,2020-01-02 04:00:00,490.8937036984953,3,1,,2747.830335053543,72,0.1,1,1,2,0,490.8937036984953,1,490.8937036984953,2293,1.0
10189,Charlie,49,0,4,2,624,2020-01-02 05:00:00,175.5004336947923,2,5,,1407.517990179504,30,0.1,0,0,1,1,175.5004336947923,1,175.5004336947923,2293,2.0
12734,Alice,63,2,1,3,639,2020-01-02 06:00:00,354.4855329873245,3,5,Excellent,3168.135404704659,40,0.1,0,0,2,0,354.4855329873245,1,354.4855329873245,2293,1.0
13005,Bob,69,2,4,0,605,2020-01-02 07:00:00,119.0757819052065,2,3,,1321.652324186231,72,0.1,0,1,0,1,119.0757819052065,1,119.0757819052065,2293,0.0
14658,John,64,0,4,4,183,2020-01-02 08:00:00,137.9880839242173,2,5,,1218.877169740629,86,0.1,0,2,1,1,137.9880839242173,1,137.9880839242173,2293,0.0
11899,John,65,1,4,3,563,2020-01-02 09:00:00,260.8320394221157,3,4,Good,3808.951749358179,76,0.1,0,1,1,0,260.8320394221157,1,260.8320394221157,2293,1.0
11267,Bob,62,1,4,3,960,2020-01-02 11:00:00,92.13456628188639,1,2,Average,770.6896449717811,43,0.1,0,1,2,1,92.13456628188639,1,92.13456628188639,2292,2.0
11528,Bob,34,1,3,4,442,2020-01-02 12:00:00,138.8115439747697,2,4,Good,1081.051860354713,57,0.1,0,1,1,1,138.8115439747697,1,138.8115439747697,2292,0.0
13556,Eve,57,1,3,1,379,2020-01-02 13:00:00,27.51671328827367,3,5,,353.7618249091465,6,0.1,0,0,1,1,27.51671328827367,1,27.51671328827367,2292,2.0
13890,Alice,38,1,1,4,965,2020-01-02 14:00:00,355.1675745239684,1,1,Good,4042.114034003081,43,0.1,0,1,2,0,355.1675745239684,1,355.1675745239684,2292,1.0
